,Name,batter,bat_speed_90th,bat_speed_80th,bat_speed_std,swing_length_coefficient,swing_length_pvalue,contact_coefficient,contact_pvalue,contact_r2,estimated_woba_50th_percentile,estimated_woba_75th_percentile,estimated_woba_per_swing_top50,estimated_woba_per_swing_top25,swing_count,average_bat_speed,diff_between_wobacon_woba_50,diff_between_wobacon_woba_25
35,cal raleigh,663728,79.6129497228092,77.58918972045495,7.070790277063973,9.430416264483153,2.352232506143741e-192,1.1579299105163512,2.266721058321134e-103,0.9733058768307266,0.5211627906976743,0.5418499999999999,0.20559633027522933,0.2006851851851852,218.0,72.83493973843807,0.315566460422445,0.34116481481481475
36,curtis mead,678554,79.54360161001597,77.98523485167715,8.490298550174906,9.84477549729875,4.116449912343652e-129,1.1135735523392387,6.122340307506489e-77,0.9727842481654291,0.23084210526315785,0.2960588235294117,0.12531428571428568,0.14379999999999998,140.0,72.81893277331723,0.10552781954887216,0.15225882352941172
37,hunter renfroe,592669,79.01718148139236,77.67360349332112,6.326935062304469,9.41409287173973,2.1851712027719955e-149,1.1303665805214942,4.3957940413432536e-98,0.971123366888942,0.2953777777777778,0.4135454545454545,0.16014457831325304,0.22190243902439022,166.0,72.81204190919136,0.13523319946452475,0.19164301552106427
38,matt olson,621566,78.31042504302516,76.83782408801036,6.312457824771576,9.776460471686802,3.4534053262007514e-239,1.166969380869007,4.049441893003812e-129,0.9718893418642107,0.40517543859649124,0.598875,0.18042968750000002,0.2994375,257.0,72.79339310171963,0.22474575109649123,0.2994375
39,wilyer abreu,677800,78.53981306982557,77.00974094031533,7.466165144132806,9.901254482497793,6.319107178611882e-199,1.102337170020096,5.920008171520382e-107,0.9714977680013835,0.3172272727272727,0.3046818181818182,0.13167924528301886,0.12647169811320758,213.0,72.77296298086314,0.18554802744425383,0.17821012006861064
40,austin riley,663586,78.82733793857912,77.60577158457505,8.540834517797538,9.79672605967277,4.099166698369609e-232,1.1462033607847397,1.1466675766906554e-128,0.9721461090228912,0.40653448275862064,0.4454516129032258,0.19169918699186989,0.2263770491803279,247.0,72.7708584283164,0.21483529576675076,0.21907456372289794
41,lawrence butler,671732,79.17741319596166,77.2678182654593,7.336457821172739,10.237028065752245,3.689012720183948e-146,1.173216749121692,4.815626233137522e-81,0.9730070739105595,0.40995238095238096,0.6119375,0.2125679012345679,0.24477500000000002,162.0,72.69261176288585,0.19738447971781306,0.3671625
42,corbin carroll,682998,78.836588631209,77.31771754923683,7.366877906384317,10.345138782164089,5.120101937917276e-220,1.1019654534387657,1.2899565573261352e-135,0.9647541564891242,0.3155,0.3108125,0.16577118644067795,0.16857627118644067,237.0,72.65331226389331,0.14972881355932205,0.14223622881355932
43,triston casas,671213,79.03634448620596,77.25656601919742,8.266185246276263,9.393650715108302,5.279598133643195e-95,1.1360321135008793,2.1182183543047977e-51,0.9703814432314235,0.4350952380952381,0.557,0.17915686274509804,0.17824,102.0,72.642678085168,0.2559383753501401,0.37876000000000004
44,rowdy tellez,642133,78.89126982031301,76.86692994618373,6.64523086946413,9.015485847929938,1.7159096611381653e-160,1.1358730551858516,1.3838182872014918e-92,0.9718792522405003,0.28945652173913045,0.25584,0.1623780487804878,0.156,164.0,72.60113157735974,0.12707847295864264,0.09984000000000001
45,joey ortiz,687401,79.64104086236289,77.34918044915953,7.802818141332598,9.552140395880489,1.1755209760644367e-140,1.078484191836114,1.6187252200658881e-80,0.957163703488324,0.3972307692307692,0.4741904761904761,0.20656,0.2691351351351351,151.0,72.59593291361266,0.19067076923076923,0.205055341055341
